onet_soc,soc_6digit,census_2010,matched
35-2012.00,35-2012,4020.0,True
35-2013.00,35-2013,4020.0,True
35-2014.00,35-2014,4020.0,True
35-2015.00,35-2015,4020.0,True
35-2021.00,35-2021,4030.0,True
35-3011.00,35-3011,4040.0,True
35-3023.00,35-3023,4040.0,True
35-3023.01,35-3023,4040.0,True
35-3031.00,35-3031,4110.0,True
35-3041.00,35-3041,4120.0,True
35-9011.00,35-9011,4130.0,True
35-9021.00,35-9021,4140.0,True
35-9031.00,35-9031,4150.0,True
37-1011.00,37-1011,4200.0,True
37-1012.00,37-1012,4210.0,True
37-2011.00,37-2011,4220.0,True
37-2012.00,37-2012,4230.0,True
37-2021.00,37-2021,4240.0,True
37-3011.00,37-3011,4250.0,True
37-3012.00,37-3012,4250.0,True
37-3013.00,37-3013,4250.0,True
39-1013.00,39-1013,4250.0,True
39-1022.00,39-1022,4250.0,True
39-2011.00,39-2011,4340.0,True
39-2021.00,39-2021,4350.0,True
39-3011.00,39-3011,4400.0,True
39-3012.00,39-3012,4400.0,True
39-3021.00,39-3021,4400.0,True
39-3031.00,39-3031,4420.0,True
39-3091.00,39-3091,4400.0,True
39-3092.00,39-3092,4400.0,True
39-3093.00,39-3093,4400.0,True
39-4011.00,39-4011,4460.0,True
39-4021.00,39-4021,4460.0,True
39-4031.00,39-4031,4465.0,True
39-5011.00,39-5011,4500.0,True
39-5012.00,39-5012,4510.0,True
39-5091.00,39-5091,4500.0,True
39-5092.00,39-5092,4520.0,True
39-5093.00,39-5093,4500.0,True
39-5094.00,39-5094,4520.0,True
39-6011.00,39-6011,4530.0,True
39-6012.00,39-6012,4530.0,True
39-7011.00,39-7011,4540.0,True
39-7012.00,39-7012,4540.0,True
39-9011.00,39-9011,4600.0,True
39-9011.01,39-9011,4600.0,True
39-9031.00,39-9031,4620.0,True
39-9032.00,39-9032,4620.0,True
39-9041.00,39-9041,4640.0,True
41-1011.00,41-1011,4700.0,True
41-1012.00,41-1012,4710.0,True
41-2011.00,41-2011,4720.0,True
41-2012.00,41-2012,4720.0,True
41-2021.00,41-2021,4740.0,True
41-2022.00,41-2022,4750.0,True
41-2031.00,41-2031,4760.0,True
41-3011.00,41-3011,4800.0,True
41-3021.00,41-3021,4810.0,True
41-3031.00,41-3031,4820.0,True
41-3041.00,41-3041,4830.0,True
41-4011.00,41-4011,4850.0,True
41-4011.07,41-4011,4850.0,True
41-4012.00,41-4012,4850.0,True
41-9011.00,41-9011,4900.0,True
41-9012.00,41-9012,4900.0,True
41-9021.00,41-9021,4920.0,True
41-9022.00,41-9022,4920.0,True
41-9031.00,41-9031,4930.0,True
41-9041.00,41-9041,4940.0,True
41-9091.00,41-9091,4950.0,True
43-1011.00,43-1011,5000.0,True
43-2011.00,43-2011,5010.0,True
43-2021.00,43-2021,5020.0,True
43-3011.00,43-3011,5100.0,True
43-3021.00,43-3021,5110.0,True
43-3031.00,43-3031,5120.0,True
43-3041.00,43-3041,5130.0,True
43-3051.00,43-3051,5140.0,True
43-3061.00,43-3061,5150.0,True
43-3071.00,43-3071,5160.0,True
43-4011.00,43-4011,5200.0,True
43-4021.00,43-4021,5210.0,True
43-4031.00,43-4031,5220.0,True
43-4041.00,43-4041,5230.0,True
43-4051.00,43-4051,5240.0,True
43-4061.00,43-4061,5250.0,True
43-4071.00,43-4071,5260.0,True
43-4081.00,43-4081,5300.0,True
43-4111.00,43-4111,5310.0,True
43-4121.00,43-4121,5320.0,True
43-4131.00,43-4131,5330.0,True
43-4141.00,43-4141,5340.0,True
43-4151.00,43-4151,5350.0,True
43-4161.00,43-4161,5360.0,True
43-4171.00,43-4171,5400.0,True
43-4181.00,43-4181,5410.0,True
43-5011.00,43-5011,5500.0,True
43-5011.01,43-5011,5500.0,True
43-5021.00,43-5021,5510.0,True
43-5031.00,43-5031,5520.0,True
43-5032.00,43-5032,5520.0,True
43-5041.00,43-5041,5530.0,True
43-5051.00,43-5051,5540.0,True
43-5052.00,43-5052,5550.0,True
43-5053.00,43-5053,5560.0,True
43-5061.00,43-5061,5600.0,True
43-5071.00,43-5071,5610.0,True
43-5111.00,43-5111,5630.0,True
43-6011.00,43-6011,5700.0,True
43-6012.00,43-6012,5700.0,True
43-6013.00,43-6013,5700.0,True
43-6014.00,43-6014,5700.0,True
43-9021.00,43-9021,5810.0,True
43-9022.00,43-9022,5820.0,True
43-9031.00,43-9031,5830.0,True
43-9041.00,43-9041,5840.0,True
43-9051.00,43-9051,5850.0,True
43-9061.00,43-9061,5860.0,True
43-9071.00,43-9071,5900.0,True
43-9081.00,43-9081,5910.0,True
43-9111.00,43-9111,5920.0,True
45-1011.00,45-1011,6005.0,True
45-2011.00,45-2011,6010.0,True
45-2021.00,45-2021,6020.0,True
45-2041.00,45-2041,6040.0,True
45-2091.00,45-2091,6050.0,True
45-2092.00,45-2092,6050.0,True
45-2093.00,45-2093,6050.0,True
45-3031.00,45-3031,6050.0,True
45-4011.00,45-4011,6120.0,True
45-4021.00,45-4021,6130.0,True
45-4022.00,45-4022,6130.0,True
45-4023.00,45-4023,6130.0,True
47-1011.00,47-1011,6200.0,True
47-1011.03,47-1011,6200.0,True
47-2011.00,47-2011,6210.0,True
47-2021.00,47-2021,6220.0,True
47-2022.00,47-2022,6220.0,True
47-2031.00,47-2031,6230.0,True
47-2041.00,47-2041,6240.0,True
47-2042.00,47-2042,6240.0,True
47-2043.00,47-2043,6240.0,True
47-2044.00,47-2044,6240.0,True
47-2051.00,47-2051,6250.0,True
47-2053.00,47-2053,6250.0,True
47-2061.00,47-2061,6260.0,True
47-2071.00,47-2071,6260.0,True
47-2072.00,47-2072,6260.0,True
