occ_code,title,zone,cert_importance,cert_normalized
27-2012.03,Media Programming Directors,4,1.78,0.6821705426356588
27-2012.04,Talent Directors,4,1.3,0.18604651162790692
27-2012.05,Media Technical Directors/Managers,4,1.89,0.7958656330749352
27-2021.00,Athletes and Sports Competitors,2,2.615,1.5452196382428942
27-2022.00,Coaches and Scouts,4,2.51,1.436692506459948
27-2023.00,"Umpires, Referees, and Other Sports Officials",2,2.76,1.6950904392764854
27-2031.00,Dancers,3,2.615,1.5452196382428942
27-2032.00,Choreographers,3,1.76,0.6614987080103358
27-2041.00,Music Directors and Composers,4,2.615,1.5452196382428942
27-2042.00,Musicians and Singers,4,2.615,1.5452196382428942
27-2091.00,"Disc Jockeys, Except Radio",2,2.615,1.5452196382428942
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,4,1.25,0.13436692506459938
27-3023.00,"News Analysts, Reporters, and Journalists",4,2.615,1.5452196382428942
27-3031.00,Public Relations Specialists,4,1.86,0.7648578811369509
27-3041.00,Editors,4,2.615,1.5452196382428942
27-3042.00,Technical Writers,4,2.615,1.5452196382428942
27-3043.00,Writers and Authors,4,1.14,0.020671834625322787
27-3043.05,"Poets, Lyricists and Creative Writers",4,1.5,0.39276485788113685
27-3091.00,Interpreters and Translators,4,4.01,2.9870801033591725
27-3092.00,Court Reporters and Simultaneous Captioners,3,3.65,2.614987080103359
27-4011.00,Audio and Video Technicians,3,2.49,1.4160206718346253
27-4012.00,Broadcast Technicians,3,1.82,0.7235142118863048
27-4014.00,Sound Engineering Technicians,3,2.12,1.0335917312661498
27-4015.00,Lighting Technicians,3,2.615,1.5452196382428942
27-4021.00,Photographers,3,2.5,1.4263565891472867
27-4031.00,"Camera Operators, Television, Video, and Film",3,1.52,0.41343669250645987
27-4032.00,Film and Video Editors,4,1.92,0.8268733850129197
29-1011.00,Chiropractors,5,2.615,1.5452196382428942
29-1021.00,"Dentists, General",5,2.615,1.5452196382428942
29-1022.00,Oral and Maxillofacial Surgeons,5,2.615,1.5452196382428942
29-1023.00,Orthodontists,5,4.61,3.607235142118863
29-1024.00,Prosthodontists,5,4.62,3.6175710594315245
29-1031.00,Dietitians and Nutritionists,5,4.1,3.080103359173126
29-1041.00,Optometrists,5,4.81,3.8139534883720922
29-1051.00,Pharmacists,5,3.8,2.770025839793281
29-1071.00,Physician Assistants,5,4.76,3.762273901808785
