SOC_2018,Census_2010,Census_2018,Title_2018
31-2020,3620,3620,Physical Therapist Assistants and Aides
31-9011,3630,3630,Massage Therapists
31-9091,3640,3640,Dental Assistants
31-9092,3645,3645,Medical Assistants
31-9094,3646,3646,Medical Transcriptionists
31-9095,3647,3647,Pharmacy Aides
31-9096,3648,3648,Veterinary Assistants and Laboratory Animal Caretakers
31-9097,3649,3649,Phlebotomists
31-909X,3655,3655,Other Healthcare Support Workers
33-1011,3700,3700,First-Line Supervisors of Correctional Officers
33-1012,3710,3710,First-Line Supervisors of Police and Detectives
33-1021,3720,3720,First-Line Supervisors of Firefighting and Prevention Workers
33-1091,3730,3725,First-Line Supervisors of Security Workers
33-1099,3730,3735,"First-Line Supervisors of Protective Service Workers, All Other"
33-2011,3740,3740,Firefighters
33-2020,3750,3750,Fire Inspectors 
33-3011,3800,3801,Bailiffs
33-3012,3800,3802,Correctional Officers and Jailers
33-3021,3820,3820,Detectives and Criminal Investigators
33-3031,3830,3830,Fish and Game Wardens
33-3041,3840,3840,Parking Enforcement Workers
33-3050,3840,3870,Police Officers
33-9011,3900,3900,Animal Control Workers
33-9021,3910,3910,Private Detectives and Investigators
33-9030,3930,3930,Security Guards and Gambling Surveillance Officers
33-9091,3940,3940,Crossing Guards and Flaggers
33-9093,3945,3945,Transportation Security Screeners
33-9094,3955,3946,School Bus Monitors
33-909X,3955,3960,Other Protective Service Workers
35-1011,4000,4000,Chefs and Head Cooks
35-1012,4010,4010,First-Line Supervisors of Food Preparation and Serving Workers
35-2010,4020,4020,Cooks
35-2021,4030,4030,Food Preparation Workers
35-3011,4040,4040,Bartenders
35-3023,4040,4055,Fast Food and Counter Workers
35-3031,4110,4110,Waiters and Waitresses
35-3041,4120,4120,"Food Servers, Nonrestaurant"
35-9011,4130,4130,Dining Room and Cafeteria Attendants and Bartender Helpers
35-9021,4140,4140,Dishwashers
35-9031,4150,4150,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
35-9099,4160,4160,"Food Preparation and Serving Related Workers, All Other"
37-1011,4200,4200,First-Line Supervisors of Housekeeping and Janitorial Workers
37-1012,4210,4210,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
37-201X,4220,4220,Janitors and Building Cleaners
37-2012,4230,4230,Maids and Housekeeping Cleaners
37-2021,4240,4240,Pest Control Workers
37-3011,4250,4251,Landscaping and Groundskeeping Workers
37-3013,4250,4252,Tree Trimmers and Pruners
37-301X,4250,4255,Other Grounds Maintenance Workers
39-1000,4250,4330,Supervisors of Personal Care and Service Workers
39-2011,4340,4340,Animal Trainers
39-2021,4350,4350,Animal Caretakers
39-3010,4400,4400,Gambling Services Workers
39-3031,4420,4420,"Ushers, Lobby Attendants, and Ticket Takers"
39-30XX,4430,4435,Other Entertainment Attendants and Related Workers
39-40XX,4460,4461,"Embalmers, Crematory Operators and Funeral Attendants"
39-4031,4465,4465,"Morticians, Undertakers, and Funeral Arrangers"
39-5011,4500,4500,Barbers
39-5012,4510,4510,"Hairdressers, Hairstylists, and Cosmetologists"
39-5092,4520,4521,Manicurists and Pedicurists
39-5094,4520,4522,Skincare Specialists
39-509X,4520,4525,Other Personal Appearance Workers
39-6010,4530,4530,"Baggage Porters, Bellhops, and Concierges"
39-7010,4540,4540,Tour and Travel Guides
39-9011,4600,4600,Childcare Workers
31-1122,4610,3602,Personal Care Aides
39-9031,4620,4621,Exercise Trainers and Group Fitness Instructors
39-9032,4620,4622,Recreation Workers
39-9041,4640,4640,Residential Advisors
39-9099,4650,4655,"Personal Care and Service Workers, All Other"
41-1011,4700,4700,First-Line Supervisors of Retail Sales Workers
41-1012,4710,4710,First-Line Supervisors of Non-Retail Sales Workers
41-2010,4720,4720,Cashiers
41-2021,4740,4740,Counter and Rental Clerks
41-2022,4750,4750,Parts Salespersons
41-2031,4760,4760,Retail Salespersons
41-3011,4800,4800,Advertising Sales Agents
41-3021,4810,4810,Insurance Sales Agents
41-3031,4820,4820,"Securities, Commodities, and Financial Services Sales Agents"
41-3041,4830,4830,Travel Agents
41-3091,4840,4840,"Sales representatives of services, except advertising, insurance, financial services, and travel"
41-4010,4850,4850,"Sales Representatives, Wholesale and Manufacturing"
41-9010,4900,4900,"Models, Demonstrators, and Product Promoters"
41-9020,4920,4920,Real Estate Brokers and Sales Agents
41-9031,4930,4930,Sales Engineers
41-9041,4940,4940,Telemarketers
41-9091,4950,4950,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
41-9099,4965,4965,"Sales and Related Workers, All Other"
43-1011,5000,5000,First-Line Supervisors of Office and Administrative Support Workers
43-2011,5010,5010,"Switchboard Operators, Including Answering Service"
43-2021,5020,5020,Telephone Operators
43-2099,5030,5040,"Communications Equipment Operators, All Other"
43-3011,5100,5100,Bill and Account Collectors
43-3021,5110,5110,Billing and Posting Clerks
43-3031,5120,5120,"Bookkeeping, Accounting, and Auditing Clerks"
43-3041,5130,5130,Gambling Cage Workers
43-3051,5140,5140,Payroll and Timekeeping Clerks
43-3061,5150,5150,Procurement Clerks
43-3071,5160,5160,Tellers
43-3099,5165,5165,"Financial Clerks, All Other"
43-4011,5200,5200,Brokerage Clerks
43-4021,5210,5210,Correspondence Clerks
43-4031,5220,5220,"Court, Municipal, and License Clerks"
43-4041,5230,5230,"Credit Authorizers, Checkers, and Clerks"
43-4051,5240,5240,Customer Service Representatives
43-4061,5250,5250,"Eligibility Interviewers, Government Programs"
43-4071,5260,5260,File Clerks
43-4081,5300,5300,"Hotel, Motel, and Resort Desk Clerks"
43-4111,5310,5310,"Interviewers, Except Eligibility and Loan"
43-4121,5320,5320,"Library Assistants, Clerical"
43-4131,5330,5330,Loan Interviewers and Clerks
43-4141,5340,5340,New Accounts Clerks
43-4151,5350,5350,Order Clerks
43-4161,5360,5360,"Human Resources Assistants, Except Payroll and Timekeeping"
43-4171,5400,5400,Receptionists and Information Clerks
43-4181,5410,5410,Reservation and Transportation Ticket Agents and Travel Clerks
43-4199,5420,5420,"Information and Record Clerks, All Other"
43-5011,5500,5500,Cargo and Freight Agents
43-5021,5510,5510,Couriers and Messengers
43-5031,5520,5521,Public Safety Telecommunicators
43-5032,5520,5522,"Dispatchers, Except Police, Fire, and Ambulance"
43-5041,5530,5530,"Meter Readers, Utilities"
43-5051,5540,5540,Postal Service Clerks
43-5052,5550,5550,Postal Service Mail Carriers
43-5053,5560,5560,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
43-5061,5600,5600,"Production, Planning, and Expediting Clerks"
43-5071,5610,5610,"Shipping, Receiving, and Inventory Clerks"
53-7065,5620,9645,Stockers and Order Fillers
43-5111,5630,5630,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
43-6011,5700,5710,Executive Secretaries and Executive Administrative Assistants
43-6012,5700,5720,Legal Secretaries and Administrative Assistants
43-6013,5700,5730,Medical Secretaries and Administrative Assistants
43-6014,5700,5740,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
43-9021,5810,5810,Data Entry Keyers
43-9022,5820,5820,Word Processors and Typists
43-9031,5830,5830,Desktop Publishers
43-9041,5840,5840,Insurance Claims and Policy Processing Clerks
43-9051,5850,5850,"Mail Clerks and Mail Machine Operators, Except Postal Service"
43-9061,5860,5860,"Office Clerks, General"
43-9071,5900,5900,"Office Machine Operators, Except Computer"
43-9081,5910,5910,Proofreaders and Copy Markers
43-9111,5920,5920,Statistical Assistants
43-9199,5940,5940,"Office and Administrative Support Workers, All Other"
45-1011,6005,6005,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
45-2011,6010,6010,Agricultural Inspectors
45-2021,6020,6020,Animal Breeders
45-2041,6040,6040,"Graders and Sorters, Agricultural Products"
45-2090,6050,6050,Miscellaneous Agricultural Workers
45-3031,6050,6115,Fishing and Hunting Workers
45-4011,6120,6120,Forest and Conservation Workers
45-4020,6130,6130,Logging Workers
47-1011,6200,6200,First-Line Supervisors of Construction Trades and Extraction Workers
47-2011,6210,6210,Boilermakers
47-2020,6220,6220,"Brickmasons, Blockmasons, and Stonemasons"
47-2031,6230,6230,Carpenters
47-2040,6240,6240,"Carpet, Floor, and Tile Installers and Finishers"
47-2050,6250,6250,"Cement Masons, Concrete Finishers, and Terrazzo Workers"
47-2061,6260,6260,Construction Laborers
47-2070,6260,6305,Construction Equipment Operators
47-2080,6330,6330,"Drywall Installers, Ceiling Tile Installers, and Tapers"
47-2111,6355,6355,Electricians
47-2121,6360,6360,Glaziers
47-2130,6400,6400,Insulation Workers
47-2140,6400,6410,Painters and Paperhangers
47-2151,6440,6441,Pipelayers
47-2152,6440,6442,"Plumbers, Pipefitters, and Steamfitters"
47-2161,6460,6460,Plasterers and Stucco Masons
47-2171,6500,6500,Reinforcing Iron and Rebar Workers
47-2181,6515,6515,Roofers
47-2211,6520,6520,Sheet Metal Workers
47-2221,6530,6530,Structural Iron and Steel Workers
47-2231,6540,6540,Solar Photovoltaic Installers
47-3010,6600,6600,"Helpers, Construction Trades"
47-4011,6660,6660,Construction and Building Inspectors
47-4021,6700,6700,Elevator and escalator installers and repairers
47-4031,6710,6710,Fence Erectors
47-4041,6720,6720,Hazardous Materials Removal Workers
47-4051,6730,6730,Highway Maintenance Workers
47-4061,6740,6740,Rail-Track Laying and Maintenance Equipment Operators
47-4071,6750,6750,Septic Tank Servicers and Sewer Pipe Cleaners
47-4090,6765,6765,Miscellaneous Construction and Related Workers
47-5010,6800,6800,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas  "
47-5023,6820,6825,"Earth Drillers, Except Oil and Gas"
47-5032,6830,6835,"Explosives Workers, Ordnance Handling Experts, and Blasters"
47-5040,6830,6850,Underground Mining Machine Operators
47-5071,6920,6920,"Roustabouts, Oil and Gas"
47-50XX,6940,6950,Other Extraction Workers
49-1011,7000,7000,"First-Line Supervisors of Mechanics, Installers, and Repairers"
49-2011,7010,7010,"Computer, Automated Teller, and Office Machine Repairers"
49-2020,7020,7020,Radio and Telecommunications Equipment Installers and Repairers
49-2091,7030,7030,Avionics Technicians
49-2092,7040,7040,"Electric Motor, Power Tool, and Related Repairers"
49-2093,7050,7050,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
49-209X,7100,7100,"Electrical and Electronics Repairers, Industrial and Utility "
49-2096,7110,7110,"Electronic Equipment Installers and Repairers, Motor Vehicles"
49-2097,7120,7120,Audiovisual equipment installers and repairers 
49-2098,7130,7130,Security and Fire Alarm Systems Installers
49-3011,7140,7140,Aircraft Mechanics and Service Technicians
49-3021,7150,7150,Automotive Body and Related Repairers
49-3022,7160,7160,Automotive Glass Installers and Repairers
