occ1990dd,csh,rti
335,0.06920655876202556,5.171381950378418
336,0.06920655876202556,3.5646917819976807
337,0.12962241205432945,4.748019218444824
338,0.07815873186131825,
344,0.08751540779277991,3.937905788421631
346,0.0502376113116257,2.1172256469726562
347,0.05142901023950604,2.921260356903076
348,0.046611925316675226,4.285622596740723
354,0.0681219608934953,4.699136734008789
355,0.03416286434272388,1.41619074344635
356,0.0502376113116257,4.376812934875488
357,0.020596358704883997,2.288351058959961
359,-0.025239572431612796,2.6560678482055664
364,0.016703685106437736,2.3322110176086426
365,-0.021441604136156367,1.826022982597351
366,0.03326800402950442,
368,0.01943978070389411,3.0635154247283936
373,0.05150015737139351,2.2168092727661133
375,0.036814146539276865,3.0613136291503906
376,0.05150015737139351,2.5961554050445557
377,0.06578657121277207,3.8508450984954834
378,0.0975263356603393,5.102402210235596
379,0.06700247248782797,3.9162309169769287
383,0.14731400223358815,7.970400333404541
384,0.08130962228209695,
385,0.053865116984530816,2.7971601486206055
387,-0.0858877226513461,0.6902144551277161
405,-0.02480849592093671,-0.08459523320198059
415,-0.0473159768964106,0.790519118309021
417,-0.11342602857426021,-2.10868239402771
423,-0.049613107279572126,-0.0859314501285553
425,-0.09643622466382956,0.022280991077423096
426,-0.05344388355545484,1.9604361057281494
433,-0.022269847553041025,0.8345136642456055
434,-0.008885331434680182,2.4731156826019287
435,-0.02067362843847066,-0.6339596509933472
436,-0.01116760503230314,3.3748064041137695
439,-0.0006101393139116645,1.0009669065475464
444,-0.004126597581567814,0.9910087585449219
445,0.01061504833489031,4.72503137588501
447,-0.045281853951349454,-0.08208250999450684
448,-0.06613119696906031,-0.19675594568252563
453,-0.04241098822293295,0.44884204864501953
455,-0.06959409890704173,0.3553661108016968
457,0.04995153329073651,5.436072826385498
458,0.03993924170598649,2.639573097229004
461,-0.08118075434171154,0.6411632299423218
462,-0.052141453489103595,1.0794682502746582
464,-0.0642104873538756,-0.6703161001205444
466,-0.08722255337794525,-1.8904916048049927
467,-0.08722255337794525,
468,-0.08722255337794525,0.9159113168716431
473,-0.07460715376093267,-2.4110774993896484
475,-0.07460715376093267,-1.8390188217163086
479,-0.06772877659049126,0.0931057333946228
488,-0.06772877659049126,0.5005799531936646
489,-0.05752909962412296,-0.03406727313995361
496,-0.09257082011038567,-0.6420096158981323
503,-0.061884846114980886,-0.19513428211212158
505,-0.040819085583966234,0.41288644075393677
507,-0.05532847278213183,0.4286016821861267
